,Date,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
159,11/05/2011,0.407184609,0.317016101,0.408982628,1.171783688,-0.248263975,3.530614007,-0.554231116,0.797959119,-0.52789987,-0.2208265
160,12/05/2011,1.562542236,2.155052895,2.237970661,2.120376389,1.068362906,0.907761978,1.231403293,0.709388292,1.485178076,2.117879916
161,13/05/2011,1.041425886,0.627703512,0.588510865,0.822044614,0.25096719,0.609824658,-0.119837049,-0.106753278,-0.177924475,-0.150091873
162,16/05/2011,-1.331114027,-2.145696172,-0.336729482,-0.846137896,-3.144617665,-0.149231262,-2.132797469,-1.564081124,-1.026035337,-1.562543361
163,17/05/2011,-0.7000542,-0.61436024,0.928685927,0.724844206,-0.5895453,-0.021292841,-0.584448926,-0.407580347,-1.085279343,0.073837115
164,18/05/2011,0.287688758,0.181640926,0.851799423,-0.338914384,1.077691017,1.070760775,-0.271595259,-0.717920425,0.069673116,-0.882681154
165,19/05/2011,1.953088418,1.997073316,0.945399385,0.873789296,2.155198958,3.171570273,2.391811176,0.173217138,1.79297637,2.78466211
166,20/05/2011,0.589218215,1.353908702,1.391337452,2.118830085,1.692834531,-0.627681927,1.077217353,0.312556305,1.357165186,1.747120733
167,23/05/2011,0.677676078,0.494749113,-0.349650931,-0.867704093,-0.362575715,-0.367410008,-0.120259255,0.499807084,1.157343475,-0.420583771
168,24/05/2011,-0.127385926,0.165459768,0.700498884,0.42060187,0.253652401,0.073371202,0.200526068,-1.112415786,0.364431855,-1.739811673
169,25/05/2011,0.042470823,-0.424929672,-0.700498884,0.273145139,-0.506725211,-0.014656308,-0.160464174,1.159021823,-0.291666672,-0.82151485
170,26/05/2011,-2.184079661,-0.797778163,-1.987085906,-1.847571056,-1.575939945,-2.003213097,-1.866230172,0.303555616,-0.905962822,-1.513214469
171,27/05/2011,-0.373184284,-1.046133055,-0.511961386,-0.438350089,-0.814031712,-1.481831066,-0.705592229,-0.722380304,-1.397121644,-0.875277417
172,31/05/2011,4.356750532,3.482714316,4.352270557,3.713246503,5.172015787,3.293888957,3.57887282,3.809779032,3.548522393,5.946743321
173,01/06/2011,0.520169755,0.359836229,-0.443829594,-0.903822994,-0.813310705,1.323273746,-0.121378384,0.132771242,-0.734460514,-0.996924912
174,02/06/2011,-0.476909218,0.096200221,0.088600454,0.400674485,1.110740969,-0.704454106,0.73052104,-0.79384441,1.58586867,0.343967988
175,03/06/2011,2.62943059,2.533594283,4.071135967,4.569626047,2.25909298,1.062290961,1.80854873,1.996546583,1.159079845,1.504372134
176,06/06/2011,1.16125988,-0.467688504,1.675975458,1.295383509,1.883570554,0.681918998,1.084218767,0.355044855,0.150555768,-0.271697108
177,07/06/2011,1.493552853,0.813724108,1.038266687,2.070296563,1.603829844,1.058292624,-0.501871404,0.405621976,1.250728556,0.77820878
178,08/06/2011,-2.610411756,-1.450184679,-1.038266687,-2.574565863,-3.334924611,-1.463504921,-1.818974505,-0.772902816,-1.288394464,-1.010480991
179,09/06/2011,-0.796457384,-0.170670143,-1.398570389,-0.396357044,-0.228613982,-1.774018726,0.328246059,1.180109212,1.097854248,0.116078942
180,10/06/2011,-2.91007999,-1.499103877,-1.561818014,-3.24323022,-2.331790348,-1.177574663,0.082236654,-0.530329539,-1.473662265,-1.078188827
181,13/06/2011,2.426466282,0.144128592,1.561818014,1.000620751,-0.445098811,0.313148805,-0.778531105,-0.796277228,-0.970495224,-0.952896164
182,14/06/2011,3.208835472,2.260432223,2.817053904,2.031841884,1.754739699,1.654747695,2.103614959,2.133628984,3.400402764,1.259773739
183,15/06/2011,-0.271403985,0.789707174,-0.947845145,0.978465455,-0.937197598,-0.915334052,-0.912893545,-0.099678373,-0.803849559,-0.841638696
184,16/06/2011,-3.068934936,-1.084316621,-0.751934326,-1.764798317,-1.958299796,-0.834204369,-1.149886511,0.324312366,0.11444013,0.22882747
185,17/06/2011,1.94612051,0.787474431,0.751934326,0.366184063,1.400168498,1.534703683,-0.040834904,-0.672415226,0.535775378,-0.304980345
186,20/06/2011,-1.639063568,-1.056718453,-2.146613828,-2.969092533,-1.874746671,-0.604915002,-0.89393919,-2.306283156,-0.992742976,0.190506219
187,21/06/2011,0.70549073,0.539250068,0.370027236,-0.507523254,0.328300313,1.064768269,1.098244413,0.779168946,1.069530498,1.964259353
188,22/06/2011,1.112375767,1.535446294,0.744155919,0.253432591,1.213047916,1.618737378,0.656525008,1.800510018,2.331131161,0.546028972
189,23/06/2011,0.628401438,1.457990162,1.789997443,-0.4557043,-0.810368645,1.101510683,1.534993564,0.812164775,3.19515995,0.47038803
190,24/06/2011,-1.474936283,-0.982709862,-3.088697657,-1.005280528,-0.694531892,0.152908112,-2.681135183,-1.110364747,-0.040589963,-1.714133802
