"Source","Target","Type","Weight"
"V9","V64","Directed",0
"V9","V65","Directed",0
"V9","V66","Directed",0
"V9","V67","Directed",0
"V9","V68","Directed",0
"V9","V69","Directed",0
"V9","V70","Directed",0
"V9","V71","Directed",0
"V9","V72","Directed",0
"V9","V73","Directed",0
"V9","V74","Directed",0
"V9","V75","Directed",0
"V9","V76","Directed",0
"V9","V77","Directed",0
"V9","V78","Directed",0
"V9","V79","Directed",0
"V9","V80","Directed",0
"V9","V81","Directed",0
"V9","V82","Directed",0
"V9","V83","Directed",0
"V9","V84","Directed",0
"V9","V85","Directed",0
"V9","V86","Directed",0
"V9","V87","Directed",0
"V9","V88","Directed",0
"V9","V89","Directed",0
"V9","V90","Directed",0
"V9","V91","Directed",0
"V9","V92","Directed",0
"V9","V93","Directed",0
"V9","V94","Directed",0
"V9","V95","Directed",0
"V9","V96","Directed",0
"V9","V97","Directed",0
"V9","V98","Directed",0
"V9","V99","Directed",0
"V9","V100","Directed",0
"V9","V101","Directed",0
"V9","V102","Directed",0
"V9","V103","Directed",0
"V9","V104","Directed",0
"V9","V105","Directed",0
"V9","V106","Directed",0
"V10","V11","Directed",0
"V10","V12","Directed",0
"V10","V13","Directed",0.288278103
"V10","V14","Directed",0
"V10","V15","Directed",0
"V10","V16","Directed",0
"V10","V17","Directed",0
"V10","V18","Directed",0
"V10","V19","Directed",0
"V10","V20","Directed",0
"V10","V21","Directed",0
"V10","V22","Directed",0
"V10","V23","Directed",0
"V10","V24","Directed",0
"V10","V25","Directed",0
"V10","V26","Directed",0
"V10","V27","Directed",0
"V10","V28","Directed",0
"V10","V29","Directed",0
"V10","V30","Directed",0
"V10","V31","Directed",0
"V10","V32","Directed",0
"V10","V33","Directed",0
"V10","V34","Directed",0
"V10","V35","Directed",0
"V10","V36","Directed",0
"V10","V37","Directed",0
"V10","V38","Directed",0
"V10","V39","Directed",0
"V10","V40","Directed",0
"V10","V41","Directed",0
"V10","V42","Directed",0
"V10","V43","Directed",0
"V10","V44","Directed",0
"V10","V45","Directed",0
"V10","V46","Directed",0
"V10","V47","Directed",0
"V10","V48","Directed",0
"V10","V49","Directed",0
"V10","V50","Directed",0
"V10","V51","Directed",0
"V10","V52","Directed",0
"V10","V53","Directed",0
"V10","V54","Directed",0
"V10","V55","Directed",0
"V10","V56","Directed",0
"V10","V57","Directed",0
"V10","V58","Directed",0
"V10","V59","Directed",0
"V10","V60","Directed",0
"V10","V61","Directed",0
"V10","V62","Directed",0
"V10","V63","Directed",0
"V10","V64","Directed",0
"V10","V65","Directed",0
"V10","V66","Directed",0
"V10","V67","Directed",0
"V10","V68","Directed",0
"V10","V69","Directed",0
"V10","V70","Directed",0
"V10","V71","Directed",0
"V10","V72","Directed",0
"V10","V73","Directed",0
"V10","V74","Directed",0
"V10","V75","Directed",0
"V10","V76","Directed",0
"V10","V77","Directed",0
"V10","V78","Directed",0
"V10","V79","Directed",0
"V10","V80","Directed",0
"V10","V81","Directed",0
"V10","V82","Directed",0
"V10","V83","Directed",0
"V10","V84","Directed",0
"V10","V85","Directed",0
"V10","V86","Directed",0
"V10","V87","Directed",0
"V10","V88","Directed",0
"V10","V89","Directed",0
"V10","V90","Directed",0
"V10","V91","Directed",0
"V10","V92","Directed",0
